tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;pdcch_cce_utilization_pct;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
0;8;2;50;25,0;487,84;49200;48784;48784,0;10,5;17,41;33393;853,2;25;23;92,0;50,7;205,6;100,0;8;0;34287,5;25,0;3900,0;49200,0;15107,32;1968,0;46816,0;24392,0;22424,0;2,0;15,0;10,0;4,0;-3,2;36,68;12,89;99,15;0;0;4,8784;2,4392;4,6816;91,93;39,84;53,93;92,0;91,93;0,1355;237265756000000,0;15403433,25
1;8;2;50;25,0;424,08;45200;42408;42408,0;10,38;17,12;46049;545,6;25;25;100,0;18,4;20,0;100,0;8;0;24281,3653;25,0;1050,9228;48000,0;14395,95;10640,0;31768,0;21204,0;10564,0;3,0;15,0;10,0;4,0;-1,2;36,49;12,57;93,82;3;0;4,2408;2,1204;3,1768;49,82;38,23;56,84;44,0;49,82;0,2003;112201327000000,0;10592512,78
2;8;1;50;50,0;380,0;38000;38000;38000,0;10,75;18,3;70907;442,0;25;23;92,0;17,0;20,5;100,0;8;0;15950,2428;12,5;1053,0278;38000,0;12933,3;38000,0;38000,0;38000,0;0,0;4,0;15,0;11,0;4,0;0,92;37,21;12,17;100,0;0;0;3,8;3,8;3,8;0,0;33,78;66,48;0,0;0,0;0,125;157937500000000,0;12567318,73
3;8;1;50;50,0;279,0;27900;27900;27900,0;11,25;19,27;97021;446,0;25;21;84,0;17,7;18,8;100,0;8;0;11692,4998;12,5;1055,137;27900,0;10571,5;27900,0;27900,0;27900,0;0,0;5,0;15,0;11,0;4,0;1,84;39,34;12,25;100,0;0;0;2,79;2,79;2,79;0,0;31,35;63,56;0,0;0,0;0,125;85138593750000,0;9227057,7
4;8;1;50;50,0;492,0;49200;49200;49200,0;11,25;19,68;131691;386,7;25;21;84,0;17,1;17,4;100,0;8;0;8055,4367;12,5;1000,0;25150,5264;8962,86;49200,0;49200,0;49200,0;0,0;4,0;15,0;11,0;4,0;1,4;41,01;12,57;100,0;0;0;4,92;4,92;4,92;0,0;34,07;63,88;0,0;0,0;0,125;264757500000000,0;16271370,56
5;8;1;50;50,0;201,0;20100;20100;20100,0;11,12;19,37;163991;397,8;25;21;84,0;25,0;20,4;100,0;8;0;4583,5699;12,5;961,7966;20100,0;6153,96;20100,0;20100,0;20100,0;0,0;3,0;15,0;11,0;4,0;-1,06;42,03;13,11;100,0;0;0;2,01;2,01;2,01;0,0;36,63;50,8;0,0;0,0;0,125;44188593750000,0;6647450,17
6;8;1;50;50,0;480,0;48000;48000;48000,0;10,75;18,63;187305;489,6;25;22;88,0;18,9;21,8;100,0;8;0;1711,3965;12,5;963,7231;4547,5314;1174,68;48000,0;48000,0;48000,0;0,0;1,0;15,0;11,0;5,0;-4,83;42,72;13,87;100,0;0;0;4,8;4,8;4,8;0,0;42,31;51,86;0,0;0,0;0,125;252000000000000,0;15874507,87
7;8;1;50;50,0;25,0;2500;2500;2500,0;10,62;18,21;208892;431,1;25;23;92,0;23,0;22,1;100,0;8;0;1232,3994;12,5;819,8874;2500,0;500,9;2500,0;2500,0;2500,0;0,0;1,0;15,0;11,0;4,0;-8,22;43,16;14,53;100,0;0;0;0,25;0,25;0,25;0,0;42,34;51,32;0,0;0,0;0,125;683593750000,0;826797,28
8;8;1;50;50,0;466,0;46600;46600;46600,0;10,88;18,1;238860;459,4;25;21;84,0;19,9;22,0;100,0;8;0;1073,7699;12,5;821,5297;1484,6025;188,93;46600,0;46600,0;46600,0;0,0;1,0;15,0;11,0;5,0;-9,57;43,49;14,82;100,0;0;0;4,66;4,66;4,66;0,0;42,25;50,91;0,0;0,0;0,125;237514375000000,0;15411501,39
9;8;1;50;50,0;466,0;46600;46600;46600,0;11,0;18,53;258073;440,2;25;21;84,0;15,9;18,2;100,0;8;0;982,2116;12,5;597,7617;1241,1277;185,63;46600,0;46600,0;46600,0;0,0;1,0;15,0;11,0;4,0;-7,4;43,5;14,29;100,0;0;0;4,66;4,66;4,66;0,0;40,91;50,02;0,0;0,0;0,125;237514375000000,0;15411501,39
10;8;1;50;50,0;39,0;3900;3900;3900,0;11,12;19,06;294057;410,4;25;21;84,0;16,0;18,7;100,0;8;0;968,2634;12,5;554,0433;1566,2556;302,26;3900,0;3900,0;3900,0;0,0;2,0;15,0;11,0;4,0;-3,8;43,28;13,51;100,0;0;0;0,39;0,39;0,39;0,0;37,99;49,76;0,0;0,0;0,125;1663593750000,0;1289803,76
11;8;1;50;50,0;229,0;22900;22900;22900,0;11,12;19,18;331691;525,9;25;22;88,0;25,6;54,1;100,0;8;0;891,8061;12,5;511,0744;1150,7594;213,43;22900,0;22900,0;22900,0;0,0;3,0;15,0;11,0;4,0;-0,87;42,94;12,92;100,0;0;0;2,29;2,29;2,29;0,0;35,23;50,74;0,0;0,0;0,125;57357343750000,0;7573463,13
12;8;1;50;50,0;100,0;10000;10000;10000,0;11,0;18,93;364095;1108,5;25;22;88,0;48,9;53,1;100,0;8;0;873,7035;12,5;390,3405;1568,6874;349,69;10000,0;10000,0;10000,0;0,0;4,0;15,0;11,0;4,0;0,47;42,42;12,76;100,0;0;0;1,0;1,0;1,0;0,0;33,4;67,39;0,0;0,0;0,125;10937500000000,0;3307189,14
13;8;1;50;50,0;492,0;49200;49200;49200,0;11,12;19,21;405945;834,3;25;22;88,0;27,2;29,8;100,0;8;0;767,5665;12,5;513,1238;1076,4629;216,11;49200,0;49200,0;49200,0;0,0;4,0;15,0;11,0;4,0;0,01;41,7;12,71;100,0;0;0;4,92;4,92;4,92;0,0;32,23;66,16;0,0;0,0;0,125;264757500000000,0;16271370,56
14;8;1;50;50,0;279,0;27900;27900;27900,0;11,12;19,41;430560;1687,1;25;21;84,0;52,8;74,9;100,0;8;0;660,0726;12,5;238,7415;1020,2115;243,97;27900,0;27900,0;27900,0;0,0;2,0;15,0;11,0;4,0;-2,74;40,88;13,2;100,0;0;0;2,79;2,79;2,79;0,0;37,99;48,3;0,0;0,0;0,125;85138593750000,0;9227057,7
15;8;1;50;50,0;492,0;49200;49200;49200,0;11,0;18,73;447760;802,8;25;22;88,0;37,0;32,6;100,0;8;0;579,8091;12,5;153,346;981,236;218,46;49200,0;49200,0;49200,0;0,0;1,0;15,0;11,0;5,0;-8,59;39,45;14,36;100,0;0;0;4,92;4,92;4,92;0,0;41,41;47,13;0,0;0,0;0,125;264757500000000,0;16271370,56
16;8;1;50;50,0;429,0;42900;42900;42900,0;11,0;18,62;475661;1015,5;25;22;88,0;352,1;35,3;100,0;8;0;520,0096;12,5;153,6531;746,0905;157,76;42900,0;42900,0;42900,0;0,0;1,0;15,0;11,0;5,0;-7,89;38,08;14,08;100,0;0;0;4,29;4,29;4,29;0,0;41,41;47,18;0,0;0,0;0,125;201294843750000,0;14187841,41
17;8;1;50;50,0;466,0;46600;46600;46600,0;11,12;18,9;500661;599,9;25;22;88,0;22,1;23,6;100,0;8;0;504,1937;12,5;378,704;607,4077;78,69;46600,0;46600,0;46600,0;0,0;3,0;15,0;11,0;4,0;-2,38;37,04;12,67;100,0;0;0;4,66;4,66;4,66;0,0;36,08;47,67;0,0;0,0;0,125;237514375000000,0;15411501,39
